year,data_year,list,rank,company,status,prior_year_closings,prior_year_gross_revenue,prior_year_rank,firm_url
2017,2016,next100,192,Buffington Homes,,162,$47,137,https://www.builderonline.com/firms/buffington-homes
2017,2016,next100,193,MJC Cos.,,159,$75,167,https://www.builderonline.com/firms/mjc-cos
2017,2016,next100,194,4Corners Homes,,158,$54,165,https://www.builderonline.com/firms/4corners-homes
2017,2016,next100,195,Marrano Homes/Marc Equity Corp.,,157,$57,180,https://www.builderonline.com/firms/marrano-homes-marc-equity-corp
2017,2016,next100,196,Insight Homes,,155,$53,189,https://www.builderonline.com/firms/insight-homes
2017,2016,next100,196,Ence Homes,,155,$52,194,https://www.builderonline.com/firms/ence-homes
2017,2016,next100,198,SeaGate Homes,,151,$37,N/A,https://www.builderonline.com/firms/seagate-homes
2017,2016,next100,199,Lokal Homes,,150,$63,N/A,https://www.builderonline.com/firms/lokal-homes
2017,2016,next100,200,Ivey Residential,,149,$35,182,https://www.builderonline.com/firms/ivey-residential
2018,2017,top100,1,D.R. Horton,p,"47,135","$14,520",1,https://www.builderonline.com/firms/dr-horton
2018,2017,top100,2,Lennar Corp.,p,"29,394","$12,646",2,https://www.builderonline.com/firms/lennar-corp
2018,2017,top100,3,PulteGroup,p,"21,052","$8,574",3,https://www.builderonline.com/firms/pultegroup
2018,2017,top100,4,NVR,p,"15,961","$6,805",4,https://www.builderonline.com/firms/nvr
2018,2017,top100,5,CalAtlantic Group,p,"14,602","$6,581",5,https://www.builderonline.com/firms/calatlantic-group
2018,2017,top100,6,2018 KB Home,p,"10,909","$4,369",6,https://www.builderonline.com/builder-100-listing/2018-kb-home/
2018,2017,top100,7,Taylor Morrison,p,"8,032","$3,900",7,https://www.builderonline.com/firms/taylor-morrison
2018,2017,top100,8,Meritage Homes Corp.,p,"7,709","$3,241",8,https://www.builderonline.com/firms/meritage-homes-corp
2018,2017,top100,9,2018 Toll Brothers,p,"7,151","$5,815",10,https://www.builderonline.com/builder-100-listing/2018-toll-brothers/
2018,2017,top100,10,Hovnanian Enterprises,p,"6,115","$2,753",9,https://www.builderonline.com/firms/hovnanian-enterprises
2018,2017,top100,11,LGI Homes,p,"5,845","$1,280",15,https://www.builderonline.com/firms/lgi-homes
2018,2017,top100,12,M.D.C. Holdings,p,"5,541","$2,580",12,https://www.builderonline.com/firms/mdc-holdings
2018,2017,top100,13,Beazer Homes,p,"5,525","$1,896",11,https://www.builderonline.com/firms/beazer-homes-usa
2018,2017,top100,14,2018 M/I Homes,p,"5,089","$1,962",13,https://www.builderonline.com/builder-100-listing/2018-m-i-homes/
2018,2017,top100,15,Tri Pointe Homes,p,"4,697","$2,810",14,https://www.builderonline.com/firms/tri-pointe-homes
2018,2017,top100,16,Century Communities,p,"4,281","$1,719",19,https://www.builderonline.com/firms/century-communities
2018,2017,top100,17,2018 David Weekley Homes,,"4,277","$1,959",16,https://www.builderonline.com/builder-100-listing/2018-david-weekley-homes/
2018,2017,top100,18,Shea Homes,,"3,537","$2,088",17,https://www.builderonline.com/firms/shea-homes
2018,2017,top100,19,William Lyon Homes,p,"3,239","$1,797",20,https://www.builderonline.com/firms/william-lyon-homes
2018,2017,top100,20,Ashton Woods Homes,,"3,168","$1,320",22,https://www.builderonline.com/firms/ashton-woods-homes
2018,2017,top100,21,Habitat for Humanity International,,"3,016","$1,736",18,https://www.builderonline.com/firms/habitat-for-humanity-international
2018,2017,top100,22,Highland Homes,,"2,893","$1,172",21,https://www.builderonline.com/firms/highland-homes
2018,2017,top100,23,Mattamy Homes,,"2,601",$909,25,https://www.builderonline.com/firms/mattamy-homes
2018,2017,top100,24,AV Homes,p,"2,491",$843,24,https://www.builderonline.com/firms/av-homes
2018,2017,top100,25,Woodside Homes,,"2,151",$875,27,https://www.builderonline.com/firms/woodside-homes
2018,2017,top100,26,Perry Homes,,"2,079",$800,28,https://www.builderonline.com/firms/perry-homes
